Date,4_Week_T_Bill_Rate,Daily_rf
2020-01-01,,
2020-01-02,1.5,4.169186022462412e-05
2020-01-03,1.49,4.141374752109073e-05
2020-01-06,1.51,4.196997517103007e-05
2020-01-07,1.49,4.141374752109073e-05
2020-01-08,1.47,4.0857528842863644e-05
2020-01-09,1.5,4.169186022462412e-05
2020-01-10,1.49,4.141374752109073e-05
2020-01-13,1.51,4.196997517103007e-05
2020-01-14,1.5,4.169186022462412e-05
2020-01-15,1.5,4.169186022462412e-05
2020-01-16,1.51,4.196997517103007e-05
2020-01-17,1.51,4.196997517103007e-05
2020-01-20,1.51,4.196997517103007e-05
2020-01-21,1.49,4.141374752109073e-05
2020-01-22,1.49,4.141374752109073e-05
2020-01-23,1.52,4.224809236053062e-05
2020-01-24,1.51,4.196997517103007e-05
2020-01-27,1.5,4.169186022462412e-05
2020-01-28,1.5,4.169186022462412e-05
2020-01-29,1.49,4.141374752109073e-05
2020-01-30,1.56,4.336058354925676e-05
2020-01-31,1.53,4.252621179312577e-05
2020-02-03,1.53,4.252621179312577e-05
2020-02-04,1.52,4.224809236053062e-05
2020-02-05,1.52,4.224809236053062e-05
2020-02-06,1.56,4.336058354925676e-05
2020-02-07,1.54,4.280433346859347e-05
2020-02-10,1.55,4.3082457387377815e-05
2020-02-11,1.54,4.280433346859347e-05
2020-02-12,1.54,4.280433346859347e-05
2020-02-13,1.56,4.336058354925676e-05
2020-02-14,1.57,4.363871195445235e-05
2020-02-17,1.57,4.363871195445235e-05
2020-02-18,1.58,4.3916842602742534e-05
2020-02-19,1.58,4.3916842602742534e-05
2020-02-20,1.58,4.3916842602742534e-05
2020-02-21,1.57,4.363871195445235e-05
2020-02-24,1.57,4.363871195445235e-05
2020-02-25,1.56,4.336058354925676e-05
2020-02-26,1.56,4.336058354925676e-05
2020-02-27,1.54,4.280433346859347e-05
2020-02-28,1.43,3.9745118400658086e-05
2020-03-02,1.4,3.891083411766694e-05
2020-03-03,1.1,3.0569101228783424e-05
2020-03-04,1.0,2.7788971957765085e-05
2020-03-05,0.91,2.52870472376987e-05
2020-03-06,0.78,2.167347641468531e-05
2020-03-09,0.56,1.5559065234871383e-05
2020-03-10,0.56,1.5559065234871383e-05
2020-03-11,0.41,1.1390770044306109e-05
2020-03-12,0.4,1.111290161248668e-05
2020-03-13,0.33,9.167885281602395e-06
2020-03-16,0.25,6.945143803616105e-06
2020-03-17,0.11,3.055690941389244e-06
2020-03-18,0.04,1.1111290127985285e-06
2020-03-19,0.04,1.1111290127985285e-06
2020-03-20,0.04,1.1111290127985285e-06
2020-03-23,0.01,2.7777889655133947e-07
2020-03-24,0.01,2.7777889655133947e-07
2020-03-25,-0.04,-1.111093210215408e-06
2020-03-26,0.01,2.7777889655133947e-07
2020-03-27,0.01,2.7777889655133947e-07
2020-03-30,0.04,1.1111290127985285e-06
