signal_method,position_sizing,drift_days,sigma_prior,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,win_loss,sharpe_ci_low,sharpe_ci_high,ann_alpha,alpha_t,alpha_p,beta,beta_t,beta_p,n
default,equal,29,0.02,0.1990737771018214,0.19201674738282531,0.8709007043022978,1.4504680769903877,-0.19711533454519325,1.0099355159817822,0.5620641562064156,1.159952253286096,0.07153135452529713,1.986013225839894,-0.00844915164498928,-0.11167779666719553,0.9111079516026561,0.7056755705879649,29.336369528572448,0.0,773
shadow_sell,equal,29,0.02,0.17772745377823163,0.18129942738283375,0.8122165219236547,1.3536792164801636,-0.17764784116814702,1.0004481484805057,0.5522788203753352,1.136785135260788,0.03253388594002563,1.943984699527727,-0.002227512799053047,-0.028351794810691007,0.9773889077547044,0.6004551162017654,24.037453153636054,0.0,773
shadow_sell,equal,45,0.02,0.1756135816411104,0.18128196986601278,0.8033127653328386,1.298498197654875,-0.19420572311044604,0.9042657385603299,0.5515743756786102,1.1353513877073242,0.05722864392366611,1.9375286670495877,-0.028758755666642148,-0.4589262063394799,0.6464138766202328,0.7278088321181018,36.49170517472283,0.0,789
shadow_sell,equal,45,0.05,0.1756135816411104,0.18128196986601278,0.8033127653328386,1.298498197654875,-0.19420572311044604,0.9042657385603299,0.5515743756786102,1.1353513877073242,0.05722864392366611,1.9375286670495877,-0.028758755666642148,-0.4589262063394799,0.6464138766202328,0.7278088321181018,36.49170517472283,0.0,789
default,signal_weight,29,0.02,0.18059011678293846,0.18991619908293925,0.7966140138843023,1.3205180244032988,-0.20292732975328343,0.8899250633342376,0.5620641562064156,1.1294425903159946,-0.0013359820844852156,1.919832433461056,-0.02392965785158567,-0.3228565582894499,0.7468914132295139,0.7038314619213801,29.8668452878512,0.0,773
default,equal,45,0.02,0.1799961757513706,0.19029871290892267,0.7935774473651729,1.281760028466141,-0.19803402379714652,0.9089154090801451,0.5586907449209932,1.147293837203851,0.036879597145019115,1.9134916944533507,-0.03680000964040303,-0.5861433277317513,0.5579472643592225,0.7838683841145164,39.22862719805488,0.0,789
default,equal,45,0.05,0.1799961757513706,0.19029871290892267,0.7935774473651729,1.281760028466141,-0.19803402379714652,0.9089154090801451,0.5586907449209932,1.147293837203851,0.036879597145019115,1.9134916944533507,-0.03680000964040303,-0.5861433277317513,0.5579472643592225,0.7838683841145164,39.22862719805488,0.0,789
shadow_sell,signal_weight,29,0.02,0.17467610544465373,0.18629054111217347,0.7814912013285934,1.2943334366610388,-0.1961110792888261,0.8906998323506056,0.5522788203753352,1.156044789000461,-0.012913538063103486,1.9102532129538723,-0.022252998276434087,-0.298175397412173,0.7656496336580647,0.6741787218174002,28.412265616621344,0.0,773
shadow_sell,signal_weight,45,0.05,0.16422039732063864,0.18491754324036666,0.7385353357672821,1.1770467133129252,-0.1899559549877251,0.8645182896806289,0.5515743756786102,1.1432229774925868,-0.00890088340035214,1.8649972471289855,-0.04645827117311566,-0.765811826823124,0.4440178891196218,0.763868125742605,39.5622954292823,0.0,789
shadow_sell,signal_weight,45,0.02,0.16422039732063864,0.18491754324036666,0.7385353357672821,1.1770467133129252,-0.1899559549877251,0.8645182896806289,0.5515743756786102,1.1432229774925868,-0.00890088340035214,1.8649972471289855,-0.04645827117311566,-0.765811826823124,0.4440178891196218,0.763868125742605,39.5622954292823,0.0,789
default,signal_weight,45,0.02,0.16562960015228767,0.18761553936712366,0.7370328367309213,1.1754080271978784,-0.1910523882361972,0.8669328956386588,0.5586907449209932,1.1225999523611903,-0.008768261630192477,1.857402970280904,-0.04852371032923237,-0.7978884528454243,0.42517590458881216,0.7796282927288857,40.279107464264186,0.0,789
default,signal_weight,45,0.05,0.16562960015228767,0.18761553936712366,0.7370328367309213,1.1754080271978784,-0.1910523882361972,0.8669328956386588,0.5586907449209932,1.1225999523611903,-0.008768261630192477,1.857402970280904,-0.04852371032923237,-0.7978884528454243,0.42517590458881216,0.7796282927288857,40.279107464264186,0.0,789
shadow_sell,equal,21,0.02,0.15451060442931963,0.18987397566120157,0.6784044277808939,1.1646713903362362,-0.26985195005502094,0.5725754599802447,0.5538881309686221,1.0392253643108034,-0.0745113528027035,1.7861815338965543,-0.01774055455723869,-0.20304752048102812,0.8391520241559074,0.5767962643108183,20.820440629946734,0.0,765
default,equal,29,0.05,0.15521746885901155,0.19851704716225257,0.6609604826586236,1.0790103232007893,-0.2258037353746839,0.6873999165755778,0.5610510046367851,1.1349761148293989,-0.1158099707617321,1.7749486512220722,-0.03534614667967502,-0.43557216092439016,0.6632700421468254,0.7079063096097324,27.382821593661884,0.0,767
shadow_sell,equal,21,0.05,0.14125143486366576,0.18325475708122618,0.6331424224947245,1.0906000115325334,-0.2775204592327485,0.5089766543849735,0.5479651162790697,1.0272458123725776,-0.13036203889772813,1.7627972796905305,-0.02137786920271182,-0.2495595942637541,0.8029951182961637,0.5407862906280736,19.91005717018874,0.0,765
shadow_sell,signal_weight,21,0.02,0.14105246542461325,0.2058454144208133,0.5838392898124297,1.0005413047539593,-0.31945663453684314,0.441538694693616,0.5538881309686221,1.0478329030441678,-0.17699572634312716,1.6771521376070753,-0.05966021563668302,-0.6871402877872862,0.4922031240366147,0.7078033299896357,25.71047934226588,0.0,765
default,signal_weight,29,0.05,0.13605207965378763,0.19621581844461602,0.5811477089286404,0.9415103557311832,-0.22588208265208087,0.6023146150256832,0.5610510046367851,1.1072891571754562,-0.19006573313182742,1.70861746084878,-0.05145391374447875,-0.6448148909851105,0.5192404646521647,0.7033351883644411,27.667082467060332,0.0,767
shadow_sell,equal,29,0.05,0.13036471173243114,0.18727209794852398,0.5728499643263789,0.9346493531184643,-0.21189420336611164,0.6152349128078151,0.5504451038575667,1.1156731764329382,-0.1994934761795757,1.6889817340802775,-0.035373869207386284,-0.426796084402284,0.669647940290147,0.6063009023398168,22.962038971596552,0.0,767
default,equal,21,0.02,0.14198535146623992,0.2155541585585264,0.5705092914442285,0.982880516169692,-0.3227250177527392,0.43995768426922577,0.5560283687943263,1.0564508712660206,-0.20134729845751068,1.6406216178331332,-0.06888204629493543,-0.7703689550651658,0.4413195212701231,0.7550967002562795,26.633747826317727,0.0,765
shadow_sell,signal_weight,29,0.05,0.12920922638764276,0.1924989826460618,0.557210739235031,0.9016861289174931,-0.2235611054671771,0.5779593284692048,0.5504451038575667,1.1370591627133761,-0.21660387959706207,1.6869023990455023,-0.051392891691014325,-0.6421898183027976,0.5209423353662652,0.6743104872040875,26.44871943512342,0.0,767
shadow_sell,equal,45,0.1,0.12237930558206545,0.1772483700799094,0.5559850347505597,0.8720065349733229,-0.21559578698460347,0.5676331031032857,0.547244094488189,1.1160318284726152,-0.19928344383298452,1.6706368056785887,-0.05881655176357525,-0.9208214612172577,0.3574279850757156,0.6958524435197284,34.162248415980756,0.0,783
default,signal_weight,21,0.02,0.13523770236931454,0.21480740940894355,0.5441802262592211,0.9330848680368538,-0.33735587456633787,0.4008754925141264,0.5560283687943263,1.0457746698754904,-0.22847504498190507,1.6177948833265294,-0.07595155183748578,-0.8593497026510812,0.3904175143940307,0.758982001824325,27.083309641632038,0.0,765
shadow_sell,signal_weight,21,0.05,0.12620067234371235,0.1998092435976727,0.5297874307308635,0.9095722924821176,-0.3296714913148693,0.38280735722816284,0.5479651162790697,1.0321186215744356,-0.23267342672706753,1.632608772595971,-0.065884240155041,-0.7711041438372321,0.4408839243561944,0.6759160748151443,24.94946566475865,0.0,765
default,equal,45,0.1,0.12190397409384213,0.19004725480833082,0.5284513211377598,0.8542701893358184,-0.22198470347556454,0.5491548389831328,0.5522388059701493,1.160078963641063,-0.2479193202886014,1.6215222782605971,-0.06912914908103653,-0.9851161544922299,0.3248717091118545,0.7329845972288925,32.77301983119377,0.0,784
default,signal_weight,45,0.1,0.11787697259179275,0.18401113741668018,0.5201349365495409,0.8430843055336866,-0.21428932834178105,0.5500832612802105,0.5522388059701493,1.1503570475622196,-0.2511578514317224,1.6165885460153775,-0.0725119890068381,-1.105811447272821,0.26914821833350566,0.7272020094900968,34.79539060237468,0.0,784
default,equal,21,0.05,0.12706111580417212,0.2088886391646302,0.5189689463806328,0.8971460773351053,-0.33210200570919335,0.382596652895357,0.5493171471927162,1.0450155554132377,-0.24890586094787504,1.5978701532278248,-0.07510863594648493,-0.8566242974384093,0.3919215057247758,0.7222577970152647,25.979436754899417,0.0,765
shadow_sell,signal_weight,45,0.1,0.11645148252010129,0.18332493231283392,0.5147055604098856,0.8011663305185681,-0.21357158284146682,0.5452573838278039,0.547244094488189,1.1406446164997421,-0.2522673074027936,1.62223701564555,-0.07606787086321579,-1.2446223633791715,0.2136439513501358,0.7536101901353567,38.66664743388993,0.0,783
default,equal,45,0.2,0.11812796413902071,0.19500961718200158,0.5024824784643528,0.8218066726802662,-0.2305367403099845,0.5124040705190132,0.5493562231759657,1.2105337039584347,-0.23828238747613914,1.6066595012770875,-0.05768409353191393,-0.7280237158285748,0.46681755646920187,0.6926980068405251,27.42929199110651,0.0,782
default,signal_weight,21,0.05,0.1205368351349081,0.20871414194261542,0.49143616170775734,0.8449358439083832,-0.3467532396472307,0.34761559908578277,0.5493171471927162,1.032636294259318,-0.2763569118836383,1.570202353440798,-0.0823162088733537,-0.9466297795566967,0.3441271552818075,0.7276488332968388,26.39086455966613,0.0,765
default,equal,45,0.3,0.10480377925130613,0.2017639012380527,0.43291765022956963,0.7028345186464274,-0.2434708543916264,0.43045718763005497,0.537712895377129,1.1886126580753418,-0.31089205758967015,1.5407994842344304,-0.05687655345201418,-0.6356789433711311,0.5251721578082131,0.6417600446702815,22.503933416394172,0.0,782
default,signal_weight,45,0.2,0.1015691791785378,0.19132528203688923,0.43038129819504983,0.7060194903438014,-0.21657606456474654,0.46897693603705304,0.5493562231759657,1.1856054480793505,-0.3227054373704461,1.5355522728872406,-0.07246449947974959,-0.944748400794965,0.34507989074635037,0.6888412527000284,28.176770946619552,0.0,782
shadow_sell,equal,45,0.3,0.09990783255162139,0.18680798521433345,0.4290405375665163,0.6836075356025144,-0.2094633076749708,0.4769705666380995,0.5306122448979592,1.1792513940128821,-0.33782430273910286,1.5610954594324749,-0.04097311707377205,-0.4815137750935766,0.6302847411972956,0.5626933325052592,20.7072073527802,0.0,792
shadow_sell,signal_weight,45,0.3,0.09756549183652075,0.18391533832485016,0.4213195023020001,0.6657215993676867,-0.21479329245452738,0.45422969554403453,0.5306122448979592,1.2189589928887254,-0.3433932571948736,1.567837747424637,-0.045910700594993664,-0.5588922147194152,0.5763936686628433,0.5732611388298625,21.85278001943778,0.0,792
default,equal,29,0.1,0.10051565436857235,0.20052305697427644,0.41434654648577823,0.6692416531119413,-0.2619141363521499,0.38377330742250054,0.5482866043613707,1.1885065799765429,-0.36521078671122137,1.5274516020596276,-0.09863349631118148,-1.315510422069098,0.18873253835871662,0.7723296520958038,32.333814956650826,0.0,767
shadow_sell,equal,21,0.1,0.09325628583801904,0.18282614733628463,0.39923460042893394,0.6570087337555234,-0.27306700700800546,0.34151429299287356,0.5368098159509203,1.0673372146176556,-0.36206806596144453,1.5231708398237476,-0.0672909232514477,-0.8209862742396984,0.4119125479581305,0.5837356886905832,22.416847043523983,0.0,759
shadow_sell,signal_weight,45,0.2,0.09407380885041139,0.19008282798823753,0.3960182143684566,0.6485640490410313,-0.21590355345628298,0.4357214475835843,0.5423728813559322,1.1986111754163187,-0.35231174790377695,1.502148848503147,-0.07763301241605255,-1.0128003167738586,0.31146961175484567,0.6803961143149155,27.849693491255373,0.0,782
